overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,Nfkbil1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfs1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfu1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ngp,,,,,,,,,,,,,,,,,,,,,,,,
,,Nif3l1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ninj1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nip7,,,,,,,,,,,,,,,,,,,,,,,,
,,Nipsnap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nit2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nkx2-3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nme6,,,,,,,,,,,,,,,,,,,,,,,,
,,Noa1,,,,,,,,,,,,,,,,,,,,,,,,
,,Noc2l,,,,,,,,,,,,,,,,,,,,,,,,
,,Noc4l,,,,,,,,,,,,,,,,,,,,,,,,
,,Nol12,,,,,,,,,,,,,,,,,,,,,,,,
,,Nop14,,,,,,,,,,,,,,,,,,,,,,,,
,,Nop16,,,,,,,,,,,,,,,,,,,,,,,,
,,Nop2,,,,,,,,,,,,,,,,,,,,,,,,
,,Npepl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Npl,,,,,,,,,,,,,,,,,,,,,,,,
,,Nr2c2ap,,,,,,,,,,,,,,,,,,,,,,,,
,,Nras,,,,,,,,,,,,,,,,,,,,,,,,
,,Nrgn,,,,,,,,,,,,,,,,,,,,,,,,
,,Nrp,,,,,,,,,,,,,,,,,,,,,,,,
,,Nsfl1c,,,,,,,,,,,,,,,,,,,,,,,,
,,Nsmce2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nsun5,,,,,,,,,,,,,,,,,,,,,,,,
,,Nt5c3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nt5c3l,,,,,,,,,,,,,,,,,,,,,,,,
,,Nt5m,,,,,,,,,,,,,,,,,,,,,,,,
,,Ntan1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ntpcr,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt14,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt16,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt16l1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt19,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt5,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt7,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt8,,,,,,,,,,,,,,,,,,,,,,,,
,,Nudt9,,,,,,,,,,,,,,,,,,,,,,,,
,,Nuf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nup37,,,,,,,,,,,,,,,,,,,,,,,,
,,Nup43,,,,,,,,,,,,,,,,,,,,,,,,
,,Nup62,,,,,,,,,,,,,,,,,,,,,,,,
,,Nup85,,,,,,,,,,,,,,,,,,,,,,,,
,,Nus1,,,,,,,,,,,,,,,,,,,,,,,,
,,Nutf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nvl,,,,,,,,,,,,,,,,,,,,,,,,
,,Nxn,,,,,,,,,,,,,,,,,,,,,,,,
,,Nxt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Oas1a,,,,,,,,,,,,,,,,,,,,,,,,
,,Oasl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ocrl,,,,,,,,,,,,,,,,,,,,,,,,
,,Odc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ogfod2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ogfrl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Oma1,,,,,,,,,,,,,,,,,,,,,,,,
,,Orai1,,,,,,,,,,,,,,,,,,,,,,,,
,,Orc6,,,,,,,,,,,,,,,,,,,,,,,,
,,Ormdl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Osbpl1a,,,,,,,,,,,,,,,,,,,,,,,,
,,Osgep,,,,,,,,,,,,,,,,,,,,,,,,
,,Otos,,,,,,,,,,,,,,,,,,,,,,,,
,,Otub1,,,,,,,,,,,,,,,,,,,,,,,,
,,P2rx4,,,,,,,,,,,,,,,,,,,,,,,,
,,P2ry14,,,,,,,,,,,,,,,,,,,,,,,,
,,Pafah2,,,,,,,,,,,,,,,,,,,,,,,,
,,Paip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pak1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pak1ip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pam,,,,,,,,,,,,,,,,,,,,,,,,
,,Pan3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pank1,,,,,,,,,,,,,,,,,,,,,,,,
,,Paox,,,,,,,,,,,,,,,,,,,,,,,,
,,Paqr5,,,,,,,,,,,,,,,,,,,,,,,,
,,Paqr7,,,,,,,,,,,,,,,,,,,,,,,,
,,Parl,,,,,,,,,,,,,,,,,,,,,,,,
,,Parvg,,,,,,,,,,,,,,,,,,,,,,,,
,,Patz1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcbd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcbp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcgf5,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcgf6,,,,,,,,,,,,,,,,,,,,,,,,
,,Pck2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcnp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcp4l1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pctp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcyox1l,,,,,,,,,,,,,,,,,,,,,,,,
,,Pcyt2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdcd6,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdcl3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pddc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pde4d,,,,,,,,,,,,,,,,,,,,,,,,
,,Pde6d,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdf,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdk3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdxk,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdxp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdzd11,,,,,,,,,,,,,,,,,,,,,,,,
,,Pdzk1ip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Peli2,,,,,,,,,,,,,,,,,,,,,,,,
,,Peo1,,,,,,,,,,,,,,,,,,,,,,,,
,,Per3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pex11b,,,,,,,,,,,,,,,,,,,,,,,,
,,Pex16,,,,,,,,,,,,,,,,,,,,,,,,
,,Pex3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pex7,,,,,,,,,,,,,,,,,,,,,,,,
,,Pfas,,,,,,,,,,,,,,,,,,,,,,,,
,,Pfdn2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pfkm,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgap2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgcp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgk1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pglyrp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgm1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgm2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgpep1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pgrmc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Phactr2,,,,,,,,,,,,,,,,,,,,,,,,
,,Phax,,,,,,,,,,,,,,,,,,,,,,,,
,,Phf10,,,,,,,,,,,,,,,,,,,,,,,,
,,Phf5a,,,,,,,,,,,,,,,,,,,,,,,,
,,Pigp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pigu,,,,,,,,,,,,,,,,,,,,,,,,
,,Pigx,,,,,,,,,,,,,,,,,,,,,,,,
,,Pigy,,,,,,,,,,,,,,,,,,,,,,,,
,,Pigyl,,,,,,,,,,,,,,,,,,,,,,,,
,,Pih1d1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pik3ip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pim3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pin1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pisd-ps3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pitpnc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pkm2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pkmyt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pla2g15,,,,,,,,,,,,,,,,,,,,,,,,
,,Pla2g16,,,,,,,,,,,,,,,,,,,,,,,,
,,Pla2g4a,,,,,,,,,,,,,,,,,,,,,,,,
,,Plec,,,,,,,,,,,,,,,,,,,,,,,,
,,Plin3,,,,,,,,,,,,,,,,,,,,,,,,
,,Plk4,,,,,,,,,,,,,,,,,,,,,,,,
,,Plscr1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pmf1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pmm1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pmpcb,,,,,,,,,,,,,,,,,,,,,,,,
,,Pno1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pnp,,,,,,,,,,,,,,,,,,,,,,,,
,,Pnpo,,,,,,,,,,,,,,,,,,,,,,,,
,,Poc1a,,,,,,,,,,,,,,,,,,,,,,,,
,,Pofut2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pold2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pole3,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr1c,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr1e,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr2c,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr2d,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr2i,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr3h,,,,,,,,,,,,,,,,,,,,,,,,
,,Polr3k,,,,,,,,,,,,,,,,,,,,,,,,
,,Pop4,,,,,,,,,,,,,,,,,,,,,,,,
,,Pop5,,,,,,,,,,,,,,,,,,,,,,,,
,,Pop7,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppa2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppcs,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppic,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppie,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppig,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppih,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppil1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppil3,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppm1h,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppp1r35,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppp1r7,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppp2r3c,,,,,,,,,,,,,,,,,,,,,,,,
,,Ppp5c,,,,,,,,,,,,,,,,,,,,,,,,
,,Praf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Prdx2,,,,,,,,,,,,,,,,,,,,,,,,
,,Prdx3,,,,,,,,,,,,,,,,,,,,,,,,
,,Prim1,,,,,,,,,,,,,,,,,,,,,,,,
,,Prim2,,,,,,,,,,,,,,,,,,,,,,,,
,,Prkar2b,,,,,,,,,,,,,,,,,,,,,,,,
,,Prkra,,,,,,,,,,,,,,,,,,,,,,,,
,,Prmt5,,,,,,,,,,,,,,,,,,,,,,,,
,,Prmt7,,,,,,,,,,,,,,,,,,,,,,,,
,,Prodh,,,,,,,,,,,,,,,,,,,,,,,,
,,Prpf31,,,,,,,,,,,,,,,,,,,,,,,,
,,Prpsap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Prr24,,,,,,,,,,,,,,,,,,,,,,,,
,,Psat1,,,,,,,,,,,,,,,,,,,,,,,,
,,Psip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Psma1,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmb9,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmc3,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmc3ip,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmc4,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmd12,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmd14,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmd3,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmd4,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmd9,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmg2,,,,,,,,,,,,,,,,,,,,,,,,
,,Psmg3,,,,,,,,,,,,,,,,,,,,,,,,
,,Psph,,,,,,,,,,,,,,,,,,,,,,,,
,,Pstpip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptcd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptges2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptgs1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptplb,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptpmt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptpn18,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptpre,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptrf,,,,,,,,,,,,,,,,,,,,,,,,
,,Ptrh2,,,,,,,,,,,,,,,,,,,,,,,,
,,Pts,,,,,,,,,,,,,,,,,,,,,,,,
,,Pus1,,,,,,,,,,,,,,,,,,,,,,,,
,,Pus3,,,,,,,,,,,,,,,,,,,,,,,,
,,Pus7,,,,,,,,,,,,,,,,,,,,,,,,
,,Pycr2,,,,,,,,,,,,,,,,,,,,,,,,
,,Qsox1,,,,,,,,,,,,,,,,,,,,,,,,
,,Qtrt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Qtrtd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rab27a,,,,,,,,,,,,,,,,,,,,,,,,
,,Rab28,,,,,,,,,,,,,,,,,,,,,,,,
,,Rab31,,,,,,,,,,,,,,,,,,,,,,,,
,,Rab37,,,,,,,,,,,,,,,,,,,,,,,,
,,Rab44,,,,,,,,,,,,,,,,,,,,,,,,
,,Rabepk,,,,,,,,,,,,,,,,,,,,,,,,
,,Rabggtb,,,,,,,,,,,,,,,,,,,,,,,,
,,Rad51ap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rae1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rai12,,,,,,,,,,,,,,,,,,,,,,,,
,,Raly,,,,,,,,,,,,,,,,,,,,,,,,
,,Rars,,,,,,,,,,,,,,,,,,,,,,,,
,,Rars2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rasa4,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbfa,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbm15,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbm34,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbm43,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbm8a,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rbpms,,,,,,,,,,,,,,,,,,,,,,,,
,,Rce1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rcl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rcn1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rcn2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rcn3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdbp,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdh13,,,,,,,,,,,,,,,,,,,,,,,,
,,Rdh14,,,,,,,,,,,,,,,,,,,,,,,,
,,Renbp,,,,,,,,,,,,,,,,,,,,,,,,
,,Repin1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rev1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rfc3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rfc4,,,,,,,,,,,,,,,,,,,,,,,,
,,Rfng,,,,,,,,,,,,,,,,,,,,,,,,
,,Rg9mtd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rgs1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rgs18,,,,,,,,,,,,,,,,,,,,,,,,
,,Rgs19,,,,,,,,,,,,,,,,,,,,,,,,
,,Rhbdd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rheb,,,,,,,,,,,,,,,,,,,,,,,,
,,Rhobtb3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rilpl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ripk3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rmnd5b,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnaseh2a,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnaseh2c,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnf125,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnf130,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnf166,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnf168,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnf7,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnh1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnpep,,,,,,,,,,,,,,,,,,,,,,,,
,,Rnps1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpain,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpap3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpl34-ps1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpp14,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpp30,,,,,,,,,,,,,,,,,,,,,,,,
,,Rps19bp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rps4y2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rps6ka1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rpusd4,,,,,,,,,,,,,,,,,,,,,,,,
,,Rqcd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rrm2,,,,,,,,,,,,,,,,,,,,,,,,
,,Rrn3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rrp1b,,,,,,,,,,,,,,,,,,,,,,,,
,,Rrp7a,,,,,,,,,,,,,,,,,,,,,,,,
,,Rrp9,,,,,,,,,,,,,,,,,,,,,,,,
,,Rsph3a,,,,,,,,,,,,,,,,,,,,,,,,
,,Rsph3b,,,,,,,,,,,,,,,,,,,,,,,,
,,Rsu1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rtcd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Rtp4,,,,,,,,,,,,,,,,,,,,,,,,
,,Runx3,,,,,,,,,,,,,,,,,,,,,,,,
,,Rwdd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Saal1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sac3d1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sae1,,,,,,,,,,,,,,,,,,,,,,,,
,,Samsn1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sap30,,,,,,,,,,,,,,,,,,,,,,,,
,,Sarnp,,,,,,,,,,,,,,,,,,,,,,,,
,,Sars,,,,,,,,,,,,,,,,,,,,,,,,
,,Sco2,,,,,,,,,,,,,,,,,,,,,,,,
,,Scoc,,,,,,,,,,,,,,,,,,,,,,,,
,,Scp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sdf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sdr39u1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sdsl,,,,,,,,,,,,,,,,,,,,,,,,
,,Sec22b,,,,,,,,,,,,,,,,,,,,,,,,
,,Selenbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sept2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sept5,,,,,,,,,,,,,,,,,,,,,,,,
,,Serhl,,,,,,,,,,,,,,,,,,,,,,,,
,,Serpina3g,,,,,,,,,,,,,,,,,,,,,,,,
,,Serpinf1,,,,,,,,,,,,,,,,,,,,,,,,
,,Setd8,,,,,,,,,,,,,,,,,,,,,,,,
,,Sf3a3,,,,,,,,,,,,,,,,,,,,,,,,
,,Sfr1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sgms2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sh2b1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sh2d5,,,,,,,,,,,,,,,,,,,,,,,,
,,Sh3bp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sh3gl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sh3glb2,,,,,,,,,,,,,,,,,,,,,,,,
,,Shmt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sigirr,,,,,,,,,,,,,,,,,,,,,,,,
,,Sigmar1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sil1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sirt6,,,,,,,,,,,,,,,,,,,,,,,,
,,Ska1,,,,,,,,,,,,,,,,,,,,,,,,
,,Skap2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sla2,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc17a9,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc19a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc22a3,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc25a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc25a10,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc25a20,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc25a39,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc29a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc35b2,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc35c2,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc39a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc39a11,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc43a3,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc48a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slc50a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slco3a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Slco4a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Smad1,,,,,,,,,,,,,,,,,,,,,,,,
,,Smad5,,,,,,,,,,,,,,,,,,,,,,,,
,,Smarca2,,,,,,,,,,,,,,,,,,,,,,,,
,,Smarcb1,,,,,,,,,,,,,,,,,,,,,,,,
,,Smc1a,,,,,,,,,,,,,,,,,,,,,,,,
,,Smc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Smtn,,,,,,,,,,,,,,,,,,,,,,,,
,,Smyd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Smyd3,,,,,,,,,,,,,,,,,,,,,,,,
,,Smyd5,,,,,,,,,,,,,,,,,,,,,,,,
,,Snapc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Snhg12,,,,,,,,,,,,,,,,,,,,,,,,
,,Snhg7,,,,,,,,,,,,,,,,,,,,,,,,
,,Snord104,,,,,,,,,,,,,,,,,,,,,,,,
,,Snrnp40,,,,,,,,,,,,,,,,,,,,,,,,
,,Snrnp48,,,,,,,,,,,,,,,,,,,,,,,,
,,Snrpc,,,,,,,,,,,,,,,,,,,,,,,,
,,Snw1,,,,,,,,,,,,,,,,,,,,,,,,
,,Snx10,,,,,,,,,,,,,,,,,,,,,,,,
,,Snx15,,,,,,,,,,,,,,,,,,,,,,,,
,,Sod2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sorbs3,,,,,,,,,,,,,,,,,,,,,,,,
,,Spag7,,,,,,,,,,,,,,,,,,,,,,,,
,,Spc24,,,,,,,,,,,,,,,,,,,,,,,,
,,Spc25,,,,,,,,,,,,,,,,,,,,,,,,
,,Spn,,,,,,,,,,,,,,,,,,,,,,,,
,,Spns2,,,,,,,,,,,,,,,,,,,,,,,,
,,Spr,,,,,,,,,,,,,,,,,,,,,,,,
,,Spry2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sqrdl,,,,,,,,,,,,,,,,,,,,,,,,
,,Srebf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Srek1ip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Srfbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Srrd,,,,,,,,,,,,,,,,,,,,,,,,
,,Ssbp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ssbp3,,,,,,,,,,,,,,,,,,,,,,,,
,,Ssbp4,,,,,,,,,,,,,,,,,,,,,,,,
,,Ssna1,,,,,,,,,,,,,,,,,,,,,,,,
,,Sssca1,,,,,,,,,,,,,,,,,,,,,,,,
,,St3gal2,,,,,,,,,,,,,,,,,,,,,,,,
,,St6galnac4,,,,,,,,,,,,,,,,,,,,,,,,
,,St7,,,,,,,,,,,,,,,,,,,,,,,,
,,Stard10,,,,,,,,,,,,,,,,,,,,,,,,
,,Stk19,,,,,,,,,,,,,,,,,,,,,,,,
,,Stk25,,,,,,,,,,,,,,,,,,,,,,,,
,,Stub1,,,,,,,,,,,,,,,,,,,,,,,,
,,Stx2,,,,,,,,,,,,,,,,,,,,,,,,
,,Stx4a,,,,,,,,,,,,,,,,,,,,,,,,
,,Stxbp4,,,,,,,,,,,,,,,,,,,,,,,,
,,Stxbp5,,,,,,,,,,,,,,,,,,,,,,,,
,,Supt3h,,,,,,,,,,,,,,,,,,,,,,,,
,,Surf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Suv420h2,,,,,,,,,,,,,,,,,,,,,,,,
,,Syne2,,,,,,,,,,,,,,,,,,,,,,,,
,,Sytl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Tacc3,,,,,,,,,,,,,,,,,,,,,,,,
,,Tacstd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Tada1,,,,,,,,,,,,,,,,,,,,,,,,
,,Tada3,,,,,,,,,,,,,,,,,,,,,,,,
,,Tagap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Tal1,,,,,,,,,,,,,,,,,,,,,,,,
,,Tarbp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Tars2,,,,,,,,,,,,,,,,,,,,,,,,
,,Tbca,,,,,,,,,,,,,,,,,,,,,,,,
,,Tbcb,,,,,,,,,,,,,,,,,,,,,,,,
,,Tbl3,,,,,,,,,,,,,,,,,,,,,,,,
